@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string

@data

ABC,10,weka.classifiers.rules.ZeroR,'',48055541465867954,20181121.1246,425,144,91,53,0,63.194444,36.805556,0,0,0.466937,0.482322,100,100,136.699767,136.699767,0,0.949304,0.949304,0,0,0,0,1,91,1,53,0,0,0,0,0.631944,1,0.774468,?,0.5,0.631944,0.631944,0.631944,0.368056,0.368056,?,0.631944,?,?,0.5,0.534819,?,0.631944,0.001,0,0,0,0,0,884,120465,42634,100,100,?
ABD,1,weka.classifiers.rules.ZeroR,'',48055541465867954,20181121.1246,426,143,85,58,0,59.440559,40.559441,0,0,0.473972,0.492925,100,100,140.130207,140.130207,0,0.979932,0.979932,0,0,0,0,1,85,1,58,0,0,0,0,0.594406,1,0.745614,?,0.5,0.594406,0.594406,0.594406,0.405594,0.405594,?,0.594406,?,?,0.5,0.517825,?,0.594406,0,0.001,0,0,0,0,884,120742,42357,100,100,?
ABD,2,weka.classifiers.rules.ZeroR,'',48055541465867954,20181121.1246,426,143,85,58,0,59.440559,40.559441,0,0,0.473972,0.492925,100,100,140.130207,140.130207,0,0.979932,0.979932,0,0,0,0,1,85,1,58,0,0,0,0,0.594406,1,0.745614,?,0.5,0.594406,0.594406,0.594406,0.405594,0.405594,?,0.594406,?,?,0.5,0.517825,?,0.594406,0,0.001,0,0,0,0,884,120742,42357,100,100,?
ABD,3,weka.classifiers.rules.ZeroR,'',48055541465867954,20181121.1246,426,143,85,58,0,59.440559,40.559441,0,0,0.473972,0.492925,100,100,140.130207,140.130207,0,0.979932,0.979932,0,0,0,0,1,85,1,58,0,0,0,0,0.594406,1,0.745614,?,0.5,0.594406,0.594406,0.594406,0.405594,0.405594,?,0.594406,?,?,0.5,0.517825,?,0.594406,0,0,0,0,0,0,884,120742,42357,100,100,?
ABD,4,weka.classifiers.rules.ZeroR,'',48055541465867954,20181121.1246,426,143,85,58,0,59.440559,40.559441,0,0,0.473972,0.492925,100,100,140.130207,140.130207,0,0.979932,0.979932,0,0,0,0,1,85,1,58,0,0,0,0,0.594406,1,0.745614,?,0.5,0.594406,0.594406,0.594406,0.405594,0.405594,?,0.594406,?,?,0.5,0.517825,?,0.594406,0,0,0,0,0,0,884,120742,42357,100,100,?
ABD,5,weka.classifiers.rules.ZeroR,'',48055541465867954,20181121.1246,426,143,85,58,0,59.440559,40.559441,0,0,0.473972,0.492925,100,100,140.130207,140.130207,0,0.979932,0.979932,0,0,0,0,1,85,1,58,0,0,0,0,0.594406,1,0.745614,?,0.5,0.594406,0.594406,0.594406,0.405594,0.405594,?,0.594406,?,?,0.5,0.517825,?,0.594406,0,0,0,0,0,0,884,120742,42357,100,100,?
ABD,6,weka.classifiers.rules.ZeroR,'',48055541465867954,20181121.1246,426,143,85,58,0,59.440559,40.559441,0,0,0.473972,0.492925,100,100,140.130207,140.130207,0,0.979932,0.979932,0,0,0,0,1,85,1,58,0,0,0,0,0.594406,1,0.745614,?,0.5,0.594406,0.594406,0.594406,0.405594,0.405594,?,0.594406,?,?,0.5,0.517825,?,0.594406,0,0,0,0,0,0,884,120742,42357,100,100,?
ABD,7,weka.classifiers.rules.ZeroR,'',48055541465867954,20181121.1246,426,143,85,58,0,59.440559,40.559441,0,0,0.473972,0.492925,100,100,140.130207,140.130207,0,0.979932,0.979932,0,0,0,0,1,85,1,58,0,0,0,0,0.594406,1,0.745614,?,0.5,0.594406,0.594406,0.594406,0.405594,0.405594,?,0.594406,?,?,0.5,0.517825,?,0.594406,0,0,0,0,0,0,884,120742,42357,100,100,?
ABD,8,weka.classifiers.rules.ZeroR,'',48055541465867954,20181121.1246,426,143,85,58,0,59.440559,40.559441,0,0,0.473972,0.492925,100,100,140.130207,140.130207,0,0.979932,0.979932,0,0,0,0,1,85,1,58,0,0,0,0,0.594406,1,0.745614,?,0.5,0.594406,0.594406,0.594406,0.405594,0.405594,?,0.594406,?,?,0.5,0.517825,?,0.594406,0,0,0,0,0,0,884,120742,42357,100,100,?
ABD,9,weka.classifiers.rules.ZeroR,'',48055541465867954,20181121.1246,426,143,85,58,0,59.440559,40.559441,0,0,0.473972,0.492925,100,100,140.130207,140.130207,0,0.979932,0.979932,0,0,0,0,1,85,1,58,0,0,0,0,0.594406,1,0.745614,?,0.5,0.594406,0.594406,0.594406,0.405594,0.405594,?,0.594406,?,?,0.5,0.517825,?,0.594406,0,0,0,0,0,0,884,120742,42357,100,100,?
ABD,10,weka.classifiers.rules.ZeroR,'',48055541465867954,20181121.1246,426,143,85,58,0,59.440559,40.559441,0,0,0.473972,0.492925,100,100,140.130207,140.130207,0,0.979932,0.979932,0,0,0,0,1,85,1,58,0,0,0,0,0.594406,1,0.745614,?,0.5,0.594406,0.594406,0.594406,0.405594,0.405594,?,0.594406,?,?,0.5,0.517825,?,0.594406,0.001,0,0,0,0,0,884,120742,42357,100,100,?
ACD,1,weka.classifiers.rules.ZeroR,'',48055541465867954,20181121.1246,429,140,93,47,0,66.428571,33.571429,0,0,0.462264,0.47482,100,100,129.9534,129.9534,0,0.928239,0.928239,0,0,0,0,1,93,1,47,0,0,0,0,0.664286,1,0.798283,?,0.5,0.664286,0.664286,0.664286,0.335714,0.335714,?,0.664286,?,?,0.5,0.55398,?,0.664286,0,0,0.01,0,10,0,884,121573,41526,100,100,?
ACD,2,weka.classifiers.rules.ZeroR,'',48055541465867954,20181121.1246,429,140,93,47,0,66.428571,33.571429,0,0,0.462264,0.47482,100,100,129.9534,129.9534,0,0.928239,0.928239,0,0,0,0,1,93,1,47,0,0,0,0,0.664286,1,0.798283,?,0.5,0.664286,0.664286,0.664286,0.335714,0.335714,?,0.664286,?,?,0.5,0.55398,?,0.664286,0.001,0,0,0,0,0,884,121573,41526,100,100,?
ACD,3,weka.classifiers.rules.ZeroR,'',48055541465867954,20181121.1246,429,140,93,47,0,66.428571,33.571429,0,0,0.462264,0.47482,100,100,129.9534,129.9534,0,0.928239,0.928239,0,0,0,0,1,93,1,47,0,0,0,0,0.664286,1,0.798283,?,0.5,0.664286,0.664286,0.664286,0.335714,0.335714,?,0.664286,?,?,0.5,0.55398,?,0.664286,0,0.001,0,0,0,0,884,121573,41526,100,100,?
ACD,4,weka.classifiers.rules.ZeroR,'',48055541465867954,20181121.1246,429,140,93,47,0,66.428571,33.571429,0,0,0.462264,0.47482,100,100,129.9534,129.9534,0,0.928239,0.928239,0,0,0,0,1,93,1,47,0,0,0,0,0.664286,1,0.798283,?,0.5,0.664286,0.664286,0.664286,0.335714,0.335714,?,0.664286,?,?,0.5,0.55398,?,0.664286,0,0,0,0,0,0,884,121573,41526,100,100,?
ACD,5,weka.classifiers.rules.ZeroR,'',48055541465867954,20181121.1246,429,140,93,47,0,66.428571,33.571429,0,0,0.462264,0.47482,100,100,129.9534,129.9534,0,0.928239,0.928239,0,0,0,0,1,93,1,47,0,0,0,0,0.664286,1,0.798283,?,0.5,0.664286,0.664286,0.664286,0.335714,0.335714,?,0.664286,?,?,0.5,0.55398,?,0.664286,0.001,0,0,0,0,0,884,121573,41526,100,100,?
ACD,6,weka.classifiers.rules.ZeroR,'',48055541465867954,20181121.1246,429,140,93,47,0,66.428571,33.571429,0,0,0.462264,0.47482,100,100,129.9534,129.9534,0,0.928239,0.928239,0,0,0,0,1,93,1,47,0,0,0,0,0.664286,1,0.798283,?,0.5,0.664286,0.664286,0.664286,0.335714,0.335714,?,0.664286,?,?,0.5,0.55398,?,0.664286,0,0,0,0,0,0,884,121573,41526,100,100,?
