@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary {'Number of leaves: 10\nSize of the tree: 19\n','Number of leaves: 9\nSize of the tree: 17\n'}
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumRules numeric

@data

ABC,10,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20181121.1313,425,425,421,4,0,99.058824,0.941176,0,0.979852,0.017577,0.093747,3.752143,19.373504,405.357525,25.998624,379.358902,0.953782,0.061173,0.892609,391.832167,0.921958,41063.170758,0.996241,265,0.018868,3,0.981132,156,0.003759,1,0.988806,0.996241,0.992509,0.979901,0.993261,0.992061,0.990588,0.013216,0.986784,0.009412,0.990611,0.990588,0.990576,0.979901,0.993261,0.991812,0.989926,0.990588,0.004,0,0,0,0,0,7706,120465,120465,99.294118,50.588235,'Number of leaves: 10\nSize of the tree: 19\n',19,10,10
ABD,1,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20181121.1313,426,426,421,5,0,98.826291,1.173709,0,0.974467,0.022909,0.107026,4.960684,22.276897,402.111835,35.08905,367.022786,0.943924,0.082369,0.861556,384.592599,0.9028,40721.200005,0.996324,271,0.025974,4,0.974026,150,0.003676,1,0.985455,0.996324,0.990859,0.974582,0.988099,0.986742,0.988263,0.017913,0.982087,0.011737,0.988319,0.988263,0.988237,0.974582,0.988099,0.985514,0.987233,0.988263,0.005,0.001,0,0,0,0,7706,120742,120742,99.061033,52.112676,'Number of leaves: 10\nSize of the tree: 19\n',19,10,10
ABD,2,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20181121.1313,426,426,421,5,0,98.826291,1.173709,0,0.974467,0.022909,0.107026,4.960684,22.276897,402.111835,35.08905,367.022786,0.943924,0.082369,0.861556,384.592599,0.9028,40721.200005,0.996324,271,0.025974,4,0.974026,150,0.003676,1,0.985455,0.996324,0.990859,0.974582,0.988099,0.986742,0.988263,0.017913,0.982087,0.011737,0.988319,0.988263,0.988237,0.974582,0.988099,0.985514,0.987233,0.988263,0.006,0,0.01,0,10,0,7706,120742,120742,99.061033,52.112676,'Number of leaves: 10\nSize of the tree: 19\n',19,10,10
ABD,3,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20181121.1313,426,426,421,5,0,98.826291,1.173709,0,0.974467,0.022909,0.107026,4.960684,22.276897,402.111835,35.08905,367.022786,0.943924,0.082369,0.861556,384.592599,0.9028,40721.200005,0.996324,271,0.025974,4,0.974026,150,0.003676,1,0.985455,0.996324,0.990859,0.974582,0.988099,0.986742,0.988263,0.017913,0.982087,0.011737,0.988319,0.988263,0.988237,0.974582,0.988099,0.985514,0.987233,0.988263,0.008,0,0,0,0,0,7706,120742,120742,99.061033,52.112676,'Number of leaves: 10\nSize of the tree: 19\n',19,10,10
ABD,4,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20181121.1313,426,426,421,5,0,98.826291,1.173709,0,0.974467,0.022909,0.107026,4.960684,22.276897,402.111835,35.08905,367.022786,0.943924,0.082369,0.861556,384.592599,0.9028,40721.200005,0.996324,271,0.025974,4,0.974026,150,0.003676,1,0.985455,0.996324,0.990859,0.974582,0.988099,0.986742,0.988263,0.017913,0.982087,0.011737,0.988319,0.988263,0.988237,0.974582,0.988099,0.985514,0.987233,0.988263,0.008,0,0,0,0,0,7706,120742,120742,99.061033,52.112676,'Number of leaves: 10\nSize of the tree: 19\n',19,10,10
ABD,5,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20181121.1313,426,426,421,5,0,98.826291,1.173709,0,0.974467,0.022909,0.107026,4.960684,22.276897,402.111835,35.08905,367.022786,0.943924,0.082369,0.861556,384.592599,0.9028,40721.200005,0.996324,271,0.025974,4,0.974026,150,0.003676,1,0.985455,0.996324,0.990859,0.974582,0.988099,0.986742,0.988263,0.017913,0.982087,0.011737,0.988319,0.988263,0.988237,0.974582,0.988099,0.985514,0.987233,0.988263,0.009,0,0.01,0,10,0,7706,120742,120742,99.061033,52.112676,'Number of leaves: 10\nSize of the tree: 19\n',19,10,10
ABD,6,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20181121.1313,426,426,421,5,0,98.826291,1.173709,0,0.974467,0.022909,0.107026,4.960684,22.276897,402.111835,35.08905,367.022786,0.943924,0.082369,0.861556,384.592599,0.9028,40721.200005,0.996324,271,0.025974,4,0.974026,150,0.003676,1,0.985455,0.996324,0.990859,0.974582,0.988099,0.986742,0.988263,0.017913,0.982087,0.011737,0.988319,0.988263,0.988237,0.974582,0.988099,0.985514,0.987233,0.988263,0.009,0,0.01,0,10,0,7706,120742,120742,99.061033,52.112676,'Number of leaves: 10\nSize of the tree: 19\n',19,10,10
ABD,7,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20181121.1313,426,426,421,5,0,98.826291,1.173709,0,0.974467,0.022909,0.107026,4.960684,22.276897,402.111835,35.08905,367.022786,0.943924,0.082369,0.861556,384.592599,0.9028,40721.200005,0.996324,271,0.025974,4,0.974026,150,0.003676,1,0.985455,0.996324,0.990859,0.974582,0.988099,0.986742,0.988263,0.017913,0.982087,0.011737,0.988319,0.988263,0.988237,0.974582,0.988099,0.985514,0.987233,0.988263,0.009,0.001,0.01,0,10,0,7706,120742,120742,99.061033,52.112676,'Number of leaves: 10\nSize of the tree: 19\n',19,10,10
ABD,8,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20181121.1313,426,426,421,5,0,98.826291,1.173709,0,0.974467,0.022909,0.107026,4.960684,22.276897,402.111835,35.08905,367.022786,0.943924,0.082369,0.861556,384.592599,0.9028,40721.200005,0.996324,271,0.025974,4,0.974026,150,0.003676,1,0.985455,0.996324,0.990859,0.974582,0.988099,0.986742,0.988263,0.017913,0.982087,0.011737,0.988319,0.988263,0.988237,0.974582,0.988099,0.985514,0.987233,0.988263,0.012,0,0.02,0,20,0,7706,120742,120742,99.061033,52.112676,'Number of leaves: 10\nSize of the tree: 19\n',19,10,10
ABD,9,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20181121.1313,426,426,421,5,0,98.826291,1.173709,0,0.974467,0.022909,0.107026,4.960684,22.276897,402.111835,35.08905,367.022786,0.943924,0.082369,0.861556,384.592599,0.9028,40721.200005,0.996324,271,0.025974,4,0.974026,150,0.003676,1,0.985455,0.996324,0.990859,0.974582,0.988099,0.986742,0.988263,0.017913,0.982087,0.011737,0.988319,0.988263,0.988237,0.974582,0.988099,0.985514,0.987233,0.988263,0.013,0,0.01,0,10,0,7706,120742,120742,99.061033,52.112676,'Number of leaves: 10\nSize of the tree: 19\n',19,10,10
