@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string

@data

ABC,10,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20181121.1256,425,144,130,14,0,90.277778,9.722222,0,0.792635,0.099109,0.311083,21.225314,64.496799,136.699767,122.773035,13.926732,0.949304,0.852591,0.096713,106.997534,0.743038,11213.112049,0.912088,83,0.113208,6,0.886792,47,0.087912,8,0.932584,0.912088,0.922222,0.792983,0.89944,0.906154,0.902778,0.103897,0.896103,0.097222,0.903862,0.902778,0.903138,0.792983,0.89944,0.866889,0.896296,0.902778,0.001,0.008,0,0.01,0,10,123006,120465,42634,90.277778,50,?
ABD,1,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20181121.1256,426,143,129,14,0,90.20979,9.79021,0,0.79241,0.099781,0.31217,21.052087,63.330111,140.130207,122.815878,17.314329,0.979932,0.858852,0.121079,110.145379,0.770247,11662.346137,0.964706,82,0.189655,11,0.810345,47,0.035294,3,0.88172,0.964706,0.921348,0.798044,0.887525,0.87158,0.902098,0.127047,0.872953,0.097902,0.905358,0.902098,0.900672,0.798044,0.887525,0.858223,0.895859,0.902098,0,0.008,0,0.01,0,10,123283,120742,42357,90.20979,50,?
ABD,2,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20181121.1256,426,143,129,14,0,90.20979,9.79021,0,0.79241,0.099781,0.31217,21.052087,63.330111,140.130207,122.815878,17.314329,0.979932,0.858852,0.121079,110.145379,0.770247,11662.346137,0.964706,82,0.189655,11,0.810345,47,0.035294,3,0.88172,0.964706,0.921348,0.798044,0.887525,0.87158,0.902098,0.127047,0.872953,0.097902,0.905358,0.902098,0.900672,0.798044,0.887525,0.858223,0.895859,0.902098,0.001,0.008,0,0.01,0,10,123283,120742,42357,90.20979,50,?
ABD,3,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20181121.1256,426,143,129,14,0,90.20979,9.79021,0,0.79241,0.099781,0.31217,21.052087,63.330111,140.130207,122.815878,17.314329,0.979932,0.858852,0.121079,110.145379,0.770247,11662.346137,0.964706,82,0.189655,11,0.810345,47,0.035294,3,0.88172,0.964706,0.921348,0.798044,0.887525,0.87158,0.902098,0.127047,0.872953,0.097902,0.905358,0.902098,0.900672,0.798044,0.887525,0.858223,0.895859,0.902098,0,0.009,0,0.01,0,10,123283,120742,42357,90.20979,50,?
ABD,4,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20181121.1256,426,143,129,14,0,90.20979,9.79021,0,0.79241,0.099781,0.31217,21.052087,63.330111,140.130207,122.815878,17.314329,0.979932,0.858852,0.121079,110.145379,0.770247,11662.346137,0.964706,82,0.189655,11,0.810345,47,0.035294,3,0.88172,0.964706,0.921348,0.798044,0.887525,0.87158,0.902098,0.127047,0.872953,0.097902,0.905358,0.902098,0.900672,0.798044,0.887525,0.858223,0.895859,0.902098,0,0.009,0,0,0,0,123283,120742,42357,90.20979,50,?
ABD,5,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20181121.1256,426,143,129,14,0,90.20979,9.79021,0,0.79241,0.099781,0.31217,21.052087,63.330111,140.130207,122.815878,17.314329,0.979932,0.858852,0.121079,110.145379,0.770247,11662.346137,0.964706,82,0.189655,11,0.810345,47,0.035294,3,0.88172,0.964706,0.921348,0.798044,0.887525,0.87158,0.902098,0.127047,0.872953,0.097902,0.905358,0.902098,0.900672,0.798044,0.887525,0.858223,0.895859,0.902098,0,0.008,0,0.01,0,10,123283,120742,42357,90.20979,50,?
ABD,6,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20181121.1256,426,143,129,14,0,90.20979,9.79021,0,0.79241,0.099781,0.31217,21.052087,63.330111,140.130207,122.815878,17.314329,0.979932,0.858852,0.121079,110.145379,0.770247,11662.346137,0.964706,82,0.189655,11,0.810345,47,0.035294,3,0.88172,0.964706,0.921348,0.798044,0.887525,0.87158,0.902098,0.127047,0.872953,0.097902,0.905358,0.902098,0.900672,0.798044,0.887525,0.858223,0.895859,0.902098,0,0.008,0,0.01,0,10,123283,120742,42357,90.20979,50,?
ABD,7,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20181121.1256,426,143,129,14,0,90.20979,9.79021,0,0.79241,0.099781,0.31217,21.052087,63.330111,140.130207,122.815878,17.314329,0.979932,0.858852,0.121079,110.145379,0.770247,11662.346137,0.964706,82,0.189655,11,0.810345,47,0.035294,3,0.88172,0.964706,0.921348,0.798044,0.887525,0.87158,0.902098,0.127047,0.872953,0.097902,0.905358,0.902098,0.900672,0.798044,0.887525,0.858223,0.895859,0.902098,0.001,0.009,0,0.01,0,10,123283,120742,42357,90.20979,50,?
ABD,8,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20181121.1256,426,143,129,14,0,90.20979,9.79021,0,0.79241,0.099781,0.31217,21.052087,63.330111,140.130207,122.815878,17.314329,0.979932,0.858852,0.121079,110.145379,0.770247,11662.346137,0.964706,82,0.189655,11,0.810345,47,0.035294,3,0.88172,0.964706,0.921348,0.798044,0.887525,0.87158,0.902098,0.127047,0.872953,0.097902,0.905358,0.902098,0.900672,0.798044,0.887525,0.858223,0.895859,0.902098,0,0.011,0,0.01,0,10,123283,120742,42357,90.20979,50,?
ABD,9,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20181121.1256,426,143,129,14,0,90.20979,9.79021,0,0.79241,0.099781,0.31217,21.052087,63.330111,140.130207,122.815878,17.314329,0.979932,0.858852,0.121079,110.145379,0.770247,11662.346137,0.964706,82,0.189655,11,0.810345,47,0.035294,3,0.88172,0.964706,0.921348,0.798044,0.887525,0.87158,0.902098,0.127047,0.872953,0.097902,0.905358,0.902098,0.900672,0.798044,0.887525,0.858223,0.895859,0.902098,0,0.009,0,0.01,0,10,123283,120742,42357,90.20979,50,?
